"Category","2022","2023","2024 YTD"
"January",3714049.9023,2397011.0479,4783907.5435
"February",3337793.0489,4414048.1807,3534267.6652
"March",3056062.1524,2934611.6377,3358960.7908
"April",2679032.7096,2677202.2525,3226841.2727
"May",2439539.5662,3077135.9319,3547085.4668
"June",1245695.2398,3120742.3681,3403754.2339
"July",1354950.3897,3292332.6503,3902333.4716
"August",1399714.5865,2998534.3822,3964698.3546
"September",1302293.8707,2902832.5013,2502541.4238
"October",1285034.7993,2942231.6775,320586.1393
"November",1938205.2066,2848446.3542,29416.9923
"December",2417280.6381,3748351.3737,
